theme,good_numbers,bad_numbers,conditional_numbers
การสื่อสาร,"14, 22, 23, 24, 26, 32, 41, 42, 44, 45, 46, 49, 54, 55, 56, 59, 62, 64, 65, 66, 69, 94, 95, 96, 99","03, 04, 05, 06, 12, 13, 18, 21, 27, 30, 31, 34, 40, 43, 48, 50, 57, 60, 72, 75, 81, 84","33, 47, 74"
ความรัก/เสน่ห์,"14, 15, 16, 22, 23, 24, 26, 28, 29, 32, 35, 36, 39, 41, 42, 44, 46, 51, 53, 55, 56, 59, 61, 62, 63, 64, 65, 66, 69, 78, 79, 82, 87, 92, 93, 95, 96, 97, 99","00, 02, 06, 08, 12, 20, 21, 25, 27, 34, 37, 38, 43, 52, 57, 58, 60, 67, 68, 72, 73, 75, 76, 80, 83, 85, 86, 88",33
ผู้ใหญ่เมตตา/อุปถัมภ์,"14, 15, 22, 23, 24, 32, 35, 36, 41, 42, 45, 51, 53, 54, 55, 56, 59, 63, 65, 66, 95","05, 13, 25, 31, 50, 52, 57, 75",
การงาน/ความก้าวหน้า,"14, 15, 16, 19, 23, 24, 26, 28, 29, 32, 35, 36, 39, 41, 42, 44, 45, 46, 49, 51, 53, 54, 55, 56, 59, 61, 62, 63, 64, 65, 66, 69, 78, 79, 82, 87, 89, 91, 92, 93, 94, 95, 96, 97, 98, 99","00, 01, 02, 03, 04, 07, 08, 09, 10, 11, 12, 13, 17, 18, 20, 21, 25, 27, 30, 31, 34, 37, 38, 40, 43, 48, 52, 57, 58, 67, 68, 70, 71, 72, 73, 75, 76, 77, 80, 81, 83, 84, 85, 86, 88, 90","33, 47, 74"
การเงิน/โชคลาภ,"15, 16, 19, 22, 23, 24, 26, 28, 29, 32, 36, 39, 42, 44, 46, 51, 56, 59, 61, 62, 63, 64, 65, 66, 69, 78, 79, 82, 87, 91, 92, 93, 95, 96, 97, 99","01, 02, 04, 06, 10, 12, 18, 20, 21, 25, 27, 34, 37, 40, 43, 52, 58, 60, 67, 68, 72, 73, 76, 81, 85, 86, 88","47, 74"
ภาวะผู้นำ/อำนาจ,"35, 53, 78, 87, 89, 98",88,"47, 74"
โอกาสใหม่/คอนเน็กชัน,"14, 19, 22, 23, 24, 26, 32, 35, 36, 41, 42, 53, 56, 59, 62, 63, 65, 66, 69, 78, 87, 91, 95, 96, 99","00, 03, 04, 07, 09, 11, 12, 21, 27, 30, 34, 37, 40, 43, 57, 70, 72, 73, 75, 90","33, 47, 74"
ความคิดสร้างสรรค์/ไอเดีย,"15, 16, 19, 29, 51, 56, 61, 65, 66, 69, 91, 92, 96","06, 58, 60, 85",
สติปัญญา/การเรียนรู้,"14, 15, 23, 29, 32, 41, 44, 45, 49, 51, 54, 55, 56, 59, 65, 92, 94, 95, 99","00, 05, 07, 09, 25, 34, 43, 50, 52, 57, 70, 75, 90",
ความมั่นคง/สมดุล,"14, 15, 16, 29, 41, 44, 46, 51, 55, 56, 61, 64, 65, 69, 92, 96","06, 09, 13, 27, 31, 38, 58, 60, 72, 83, 85, 88, 90",
พลังใจ/ความมั่นใจ,"19, 23, 28, 29, 32, 35, 36, 53, 63, 82, 89, 91, 92, 98, 99","01, 02, 05, 07, 08, 09, 10, 11, 17, 18, 20, 27, 34, 38, 43, 50, 57, 58, 68, 70, 71, 72, 75, 80, 81, 83, 85, 86, 88, 90",33
สุขภาพ/ความเครียด,"15, 23, 24, 26, 29, 32, 42, 45, 51, 54, 55, 59, 62, 69, 79, 89, 92, 95, 96, 97, 98, 99","00, 01, 02, 03, 04, 05, 06, 07, 09, 10, 11, 12, 13, 17, 20, 21, 25, 27, 30, 31, 34, 37, 40, 43, 48, 50, 52, 57, 58, 60, 70, 71, 72, 73, 75, 77, 84, 85, 90","47, 74"
ระวังอุบัติเหตุ/เหตุฉุกเฉิน,,"13, 31, 37, 48, 73, 84",
ระวังอารมณ์/ความใจร้อน,"29, 39, 66, 69, 92, 93, 96, 99","00, 01, 03, 09, 10, 11, 12, 13, 17, 18, 21, 30, 31, 38, 71, 81, 83, 88, 90",33
ระวังการเงินรั่วไหล,"16, 24, 42, 61","01, 02, 06, 08, 10, 12, 20, 21, 27, 57, 60, 67, 72, 75, 76, 80, 88",
ระวังความรักซับซ้อน,"28, 39, 66, 82, 93","00, 02, 06, 11, 12, 20, 21, 25, 27, 34, 38, 43, 52, 60, 67, 72, 76, 83",
เดินทาง/ต่างประเทศ,"19, 36, 44, 45, 49, 54, 59, 63, 69, 91, 94, 95, 96, 99","01, 09, 10, 38, 83, 88, 90",
สิ่งศักดิ์สิทธิ์คุ้มครอง/ลางสังหรณ์,"29, 36, 39, 45, 49, 54, 59, 63, 79, 89, 92, 93, 94, 95, 97, 98, 99","00, 05, 09, 18, 50, 81, 88, 90",
